Loot Monitor | Starting Chest Checking
Loot Monitor | Starting Color Compare
1 0 | C: 0x696853 Ref: 16770251
3 0 | C: 0x03320f Ref: 0x488DD8
4 0 | C: 0x032f0f Ref: 0x488DD8
5 0 | C: 0x062d14 Ref: 0x488DD8
6 0 | C: 0x0c2d1f Ref: 0x488DD8
2 0 | C: 0x696853 Ref: 16770251
3 0 | C: 0x666752 Ref: 16770251
4 0 | C: 0x656752 Ref: 16770251
5 0 | C: 0x666752 Ref: 16770251
6 0 | C: 0x696754 Ref: 16770251
7 0 | C: 0x0e3123 Ref: 0x488DD8
8 0 | C: 0x0a301c Ref: 0x488DD8
9 0 | C: 0x082f1a Ref: 0x488DD8
10 0 | C: 0x082d1a Ref: 0x488DD8
11 0 | C: 0x082f1d Ref: 0x488DD8
14 0 | C: 0x666753 Ref: 16770251
15 0 | C: 0x686852 Ref: 16770251
16 0 | C: 0x686852 Ref: 16770251
17 0 | C: 0x676953 Ref: 16770251
18 0 | C: 0x686853 Ref: 16770251
18 0 | C: 0x063619 Ref: 0x488DD8
19 0 | C: 0x06321a Ref: 0x488DD8
20 0 | C: 0x062d1a Ref: 0x488DD8
1 1 | C: 0x033113 Ref: 0x488DD8
2 1 | C: 0x033111 Ref: 0x488DD8
19 0 | C: 0x686854 Ref: 16770251
20 0 | C: 0x676852 Ref: 16770251
21 0 | C: 0x666752 Ref: 16770251
22 0 | C: 0x666651 Ref: 16770251
23 0 | C: 0x666752 Ref: 16770251
2 2 | C: 0x033114 Ref: 0x488DD8
3 2 | C: 0x033113 Ref: 0x488DD8
4 2 | C: 0x033013 Ref: 0x488DD8
5 2 | C: 0x033113 Ref: 0x488DD8
24 0 | C: 0x676752 Ref: 16770251
25 0 | C: 0x676752 Ref: 16770251
26 0 | C: 0x6b6853 Ref: 16770251
27 0 | C: 0x6b6853 Ref: 16770251
6 2 | C: 0x033114 Ref: 0x488DD8
7 2 | C: 0x033614 Ref: 0x488DD8
8 2 | C: 0x033114 Ref: 0x488DD8
9 2 | C: 0x063014 Ref: 0x488DD8
10 2 | C: 0x032d13 Ref: 0x488DD8
29 0 | C: 0x686953 Ref: 16770251
30 0 | C: 0x6b6a53 Ref: 16770251
31 0 | C: 0x6c6a54 Ref: 16770251
32 0 | C: 0x6c6b54 Ref: 16770251
33 0 | C: 0x6c6b54 Ref: 16770251
12 2 | C: 0x032814 Ref: 0x488DD8
13 2 | C: 0x062111 Ref: 0x488DD8
14 2 | C: 0x06190c Ref: 0x488DD8
15 2 | C: 0x08170c Ref: 0x488DD8
25 1 | C: 0x696a52 Ref: 16770251
26 1 | C: 0x6b6853 Ref: 16770251
27 1 | C: 0x6b6853 Ref: 16770251
28 1 | C: 0x6b6853 Ref: 16770251
17 2 | C: 0x063419 Ref: 0x488DD8
18 2 | C: 0x033519 Ref: 0x488DD8
19 2 | C: 0x062b19 Ref: 0x488DD8
20 2 | C: 0x082c1d Ref: 0x488DD8
29 1 | C: 0x6b6954 Ref: 16770251
30 1 | C: 0x6c6a54 Ref: 16770251
31 1 | C: 0x6c6b54 Ref: 16770251
32 1 | C: 0x6e6b55 Ref: 16770251
33 1 | C: 0x6e6c55 Ref: 16770251
19 3 | C: 0x082b1d Ref: 0x488DD8
20 3 | C: 0x0c2d1f Ref: 0x488DD8
1 4 | C: 0x032a11 Ref: 0x488DD8
2 4 | C: 0x032c13 Ref: 0x488DD8
34 1 | C: 0x6e6d55 Ref: 16770251
1 2 | C: 0x696955 Ref: 16770251
2 2 | C: 0x696a55 Ref: 16770251
3 2 | C: 0x6a6a54 Ref: 16770251
4 2 | C: 0x6a6954 Ref: 16770251
3 4 | C: 0x032a11 Ref: 0x488DD8
4 4 | C: 0x033014 Ref: 0x488DD8
5 4 | C: 0x033716 Ref: 0x488DD8
6 4 | C: 0x033614 Ref: 0x488DD8
20 2 | C: 0x696954 Ref: 16770251
21 2 | C: 0x696954 Ref: 16770251
22 2 | C: 0x6a6853 Ref: 16770251
23 2 | C: 0x696953 Ref: 16770251
7 4 | C: 0x032f13 Ref: 0x488DD8
8 4 | C: 0x032d13 Ref: 0x488DD8
9 4 | C: 0x032c13 Ref: 0x488DD8
10 4 | C: 0x033114 Ref: 0x488DD8
11 4 | C: 0x033114 Ref: 0x488DD8
5 3 | C: 0x6b6a53 Ref: 16770251
6 3 | C: 0x6a6a53 Ref: 16770251
7 3 | C: 0x696853 Ref: 16770251
8 3 | C: 0x6b6a54 Ref: 16770251
12 4 | C: 0x032c13 Ref: 0x488DD8
13 4 | C: 0x032711 Ref: 0x488DD8
14 4 | C: 0x06160a Ref: 0x488DD8
15 4 | C: 0x061d0f Ref: 0x488DD8
9 3 | C: 0x6c6955 Ref: 16770251
10 3 | C: 0x6e6c55 Ref: 16770251
11 3 | C: 0x6c6c57 Ref: 16770251
12 3 | C: 0x6d6b57 Ref: 16770251
13 3 | C: 0x6b6b54 Ref: 16770251
4 5 | C: 0x033414 Ref: 0x488DD8
5 5 | C: 0x033716 Ref: 0x488DD8
6 5 | C: 0x033213 Ref: 0x488DD8
7 5 | C: 0x06270f Ref: 0x488DD8
14 3 | C: 0x666754 Ref: 16770251
15 3 | C: 0x63634f Ref: 16770251
16 3 | C: 0x5e5e4a Ref: 16770251
17 3 | C: 0x595947 Ref: 16770251
18 3 | C: 0x555544 Ref: 16770251
1 7 | C: 0x19372f Ref: 0x488DD8
2 7 | C: 0x27423b Ref: 0x488DD8
3 7 | C: 0x16362c Ref: 0x488DD8
4 7 | C: 0x0c2f20 Ref: 0x488DD8
26 3 | C: 0x696a52 Ref: 16770251
27 3 | C: 0x6b6952 Ref: 16770251
28 3 | C: 0x6b6b54 Ref: 16770251
